Class,Method,Inferred Type,Original Type,Source Code,Comments
Sidekiq::Stats,initialize,() -> self,,"def initialize
      fetch_stats!
    end",""
Sidekiq::Stats,processed,() -> Number,,"def processed
      stat :processed
    end",""
Sidekiq::Stats,failed,() -> Number,,"def failed
      stat :failed
    end",""
Sidekiq::Stats,scheduled_size,() -> Number,,"def scheduled_size
      stat :scheduled_size
    end",""
Sidekiq::Stats,retry_size,() -> Number,,"def retry_size
      stat :retry_size
    end",""
Sidekiq::Stats,dead_size,() -> Number,,"def dead_size
      stat :dead_size
    end",""
Sidekiq::Stats,enqueued,() -> Number,,"def enqueued
      stat :enqueued
    end",""
Sidekiq::Stats,processes_size,() -> Number,,"def processes_size
      stat :processes_size
    end",""
Sidekiq::Stats,workers_size,() -> Number,,"def workers_size
      stat :workers_size
    end",""
Sidekiq::Stats,default_queue_latency,() -> Number,,"def default_queue_latency
      stat :default_queue_latency
    end",""
Sidekiq::Stats,queues,() -> XXX,,"def queues
      Sidekiq::Stats::Queues.new.lengths
    end",""
Sidekiq::Stats,fetch_stats!,"() -> { processed: Number, failed: Number, scheduled_size: XXX, retry_size: XXX, dead_size: XXX, processes_size: XXX, default_queue_latency: Number, workers_size: XXX, enqueued: XXX }",,"def fetch_stats!
      pipe1_res = Sidekiq.redis { |conn|
        conn.pipelined do
          conn.get(""stat:processed"")
          conn.get(""stat:failed"")
          conn.zcard(""schedule"")
          conn.zcard(""retry"")
          conn.zcard(""dead"")
          conn.scard(""processes"")
          conn.lrange(""queue:default"", -1, -1)
        end
      }

      processes = Sidekiq.redis { |conn|
        conn.sscan_each(""processes"").to_a
      }

      queues = Sidekiq.redis { |conn|
        conn.sscan_each(""queues"").to_a
      }

      pipe2_res = Sidekiq.redis { |conn|
        conn.pipelined do
          processes.each { |key| conn.hget(key, ""busy"") }
          queues.each { |queue| conn.llen(""queue:#{queue}"") }
        end
      }

      s = processes.size
      workers_size = pipe2_res[0...s].sum(&:to_i)
      enqueued = pipe2_res[s..-1].sum(&:to_i)

      default_queue_latency = if (entry = pipe1_res[6].first)
        job = begin
                Sidekiq.load_json(entry)
              rescue
                {}
              end
        now = Time.now.to_f
        thence = job[""enqueued_at""] || now
        now - thence
      else
        0
      end
      @stats = {
        processed: pipe1_res[0].to_i,
        failed: pipe1_res[1].to_i,
        scheduled_size: pipe1_res[2],
        retry_size: pipe1_res[3],
        dead_size: pipe1_res[4],
        processes_size: pipe1_res[5],

        default_queue_latency: default_queue_latency,
        workers_size: workers_size,
        enqueued: enqueued,
      }
    end",""
Sidekiq::Stats,reset,(*XXX) -> XXX,,"def reset(*stats)
      all = %w[failed processed]
      stats = stats.empty? ? all : all & RDL.type_cast(stats.flatten, ""Array<Integer>"").compact.map(&:to_s)

      mset_args = RDL.type_cast([], ""Array<Integer or String>"")
      stats.each do |stat|
        mset_args << ""stat:#{stat}""
        mset_args << 0
      end
      Sidekiq.redis do |conn|
        conn.mset(*mset_args)
      end
    end",""
Sidekiq::Stats,stat,(XXX) -> Number,,"def stat(s)
      @stats[s]
    end",""
